executionOrder,submissionId,type,relativeExecutionTime,Depth,statement
3,36,GROUP BY,0.5,1,GROUP BY c.CRN
6,36,ORDER BY,0.5,1,"ORDER BY s.NetId ASC,
         e.Score DESC"
2,36,WHERE,0.5,1,"WHERE s.Department = 'STAT'
  AND e.Score = maxScore
"
5,37,SELECT,0.5,1,"SELECT s.NetId,
       maxScore"
1,37,FROM,0.5,1,FROM Students sLEFT JOIN Enrollments e ON e.NetId = s.NetIdJOIN Courses c ON e.CRN = c.CRN
3,37,GROUP BY,0.5,1,GROUP BY c.CRN
6,37,ORDER BY,0.5,1,"ORDER BY s.NetId ASC,
         e.Score DESC"
2,37,WHERE,0.5,1,"WHERE c.Department = 'STAT'
"
5,39,SELECT,0.5,1,"SELECT s.NetId,
       maxScore"
1,39,FROM,0.5,1,FROM Students sLEFT JOIN Enrollments e ON e.NetId = s.NetIdJOIN Courses c ON e.CRN = c.CRN
3,39,GROUP BY,0.5,1,GROUP BY c.CRN
6,39,ORDER BY,0.5,1,ORDER BY s.NetId ASC
2,39,WHERE,0.5,1,"WHERE c.Department = 'STAT'
"
5,40,SELECT,0.5,1,SELECT NetId MINScore
1,40,FROM,0.5,1,FROM Enrollments;
5,41,SELECT,0.5,1,"SELECT NetId,
       MINScore"
1,41,FROM,0.5,1,FROM Enrollments;
5,42,SELECT,0.5,1,"SELECT NetId,
       Score"
1,42,FROM,0.5,1,FROM Enrollments;
5,43,SELECT,0.5,1,"SELECT NetId,
       Score"
1,43,FROM,0.5,1,FROM Enrollments
2,43,WHERE,0.5,1,"WHERE Enrollments. Score=
  SELECT maxEnrollments. Score;"
5,44,SELECT,0.5,1,"SELECT NetId,
       Score"
1,44,FROM,0.5,1,FROM Enrollments.eLEFT JOIN Students.s ON e.NetId = e.NetIDJOIN Courses.c ON c.CRN = e.CRN
3,44,GROUP BY,0.5,1,GROUP BY e.CRN
6,44,ORDER BY,0.5,1,"ORDER BY e.NetId ASC,
         e.Score DESC;"
2,44,WHERE,0.5,1,"WHERE Enrollments. Score=
  SELECT maxEnrollments. Score
  OR Enrollments. Score=
  SELECT minEnrollments. Score
  AND c.Department = 'STAT'
"
5,45,SELECT,0.5,1,"SELECT NetId,
       Score"
1,45,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = e.NetIDJOIN Courses c ON c.CRN = e.CRN
3,45,GROUP BY,0.5,1,GROUP BY e.CRN
6,45,ORDER BY,0.5,1,"ORDER BY e.NetId ASC,
         e.Score DESC;"
2,45,WHERE,0.5,1,"WHERE Enrollments. Score=
  SELECT maxEnrollments. Score
  OR Enrollments. Score=
  SELECT minEnrollments. Score
  AND c.Department = 'STAT'
"
5,46,SELECT,0.5,1,"SELECT eNetId,
       Score"
1,46,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = e.NetIDJOIN Courses c ON c.CRN = e.CRN
3,46,GROUP BY,0.5,1,GROUP BY e.CRN
6,46,ORDER BY,0.5,1,"ORDER BY e.NetId ASC,
         e.Score DESC;"
2,46,WHERE,0.5,1,"WHERE Enrollments. Score=
  SELECT maxEnrollments. Score
  OR Enrollments. Score=
  SELECT minEnrollments. Score
  AND c.Department = 'STAT'
"
5,47,SELECT,0.5,1,"SELECT e.NetId,
       Score"
1,47,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = e.NetIDJOIN Courses c ON c.CRN = e.CRN
3,47,GROUP BY,0.5,1,GROUP BY e.CRN
6,47,ORDER BY,0.5,1,"ORDER BY e.NetId ASC,
         e.Score DESC;"
2,47,WHERE,0.5,1,"WHERE Enrollments. Score=
  SELECT maxEnrollments. Score
  OR Enrollments. Score=
  SELECT minEnrollments. Score
  AND c.Department = 'STAT'
"
5,48,SELECT,0.5,1,"SELECT e.NetId,
       Score"
1,48,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = e.NetIDJOIN Courses c ON c.CRN = e.CRN
3,48,GROUP BY,0.5,1,GROUP BY e.CRN
6,48,ORDER BY,0.5,1,"ORDER BY e.NetId ASC,
         e.Score DESC;"
2,48,WHERE,0.5,1,"WHERE e.Score=
  SELECT maxe. Score
  OR e.Score=
  SELECT mine. Score
  AND c.Department = 'STAT'
"
5,51,SELECT,0.5,1,"SELECT e.NetId,
       Score"
1,51,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetIDJOIN Courses c ON c.CRN = e.CRN
3,51,GROUP BY,0.5,1,GROUP BY e.CRN
6,51,ORDER BY,0.5,1,"ORDER BY e.NetId ASC,
         e.Score DESC;"
2,51,WHERE,0.5,1,"WHERE e.Score=
  SELECT maxe. Score
  OR e.Score=
  SELECT mine. Score
  AND c.Department = 'STAT'
"
5,52,SELECT,0.5,1,"SELECT e.NetId,
       Score"
1,52,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetIDJOIN Courses c ON c.CRN = e.CRN
6,52,ORDER BY,0.5,1,"ORDER BY e.NetId ASC,
         e.Score DESC;"
2,52,WHERE,0.5,1,"WHERE e.Score=
  SELECT maxe. Score
  OR e.Score=
  SELECT mine. Score
  AND c.Department = 'STAT'
"
5,53,SELECT,0.5,1,"SELECT e.NetId,
       Score mine. Score"
1,53,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetIDJOIN Courses c ON c.CRN = e.CRN
3,53,GROUP BY,0.5,1,GROUP BY e.CRNOR e.Score= e.CRNAND c.Department = 'STAT'
6,53,ORDER BY,0.5,1,"ORDER BY e.NetId ASC,
         e.Score DESC;"
2,53,WHERE,0.5,1,"WHERE e.Score=
  SELECT maxe. Score
"
5,54,SELECT,0.5,1,"SELECT e.NetId,
       Score minScore Enrollments"
1,54,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetIDJOIN Courses c ON c.CRN = e.CRN
3,54,GROUP BY,0.5,1,GROUP BY e.CRNOR e.Score= e.CRNAND c.Department = 'STAT'
6,54,ORDER BY,0.5,1,"ORDER BY e.NetId ASC,
         e.Score DESC;"
2,54,WHERE,0.5,1,"WHERE e.Score=
  SELECT maxScore
  FROM Enrollments
"
5,55,SELECT,0.5,1,"SELECT e.NetId,
       Score,
       c.Department minScore Enrollments"
1,55,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetIDJOIN Courses c ON c.CRN = e.CRN
3,55,GROUP BY,0.5,1,GROUP BY e.CRNOR e.Score= e.CRNAND c.Department = 'STAT'
6,55,ORDER BY,0.5,1,"ORDER BY e.NetId ASC,
         e.Score DESC;"
2,55,WHERE,0.5,1,"WHERE e.Score=
  SELECT maxScore
  FROM Enrollments
"
5,56,SELECT,0.5,1,"SELECT e.NetId,
       Score minScore Enrollments"
1,56,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetIDJOIN Courses c ON c.CRN = e.CRN
3,56,GROUP BY,0.5,1,GROUP BY e.CRNOR e.Score= e.CRNAND c.Department = 'STAT'
6,56,ORDER BY,0.5,1,"ORDER BY e.NetId ASC,
         e.Score DESC;"
2,56,WHERE,0.5,1,"WHERE e.Score=
  SELECT maxScore
  FROM Enrollments
"
5,57,SELECT,0.5,1,"SELECT e.NetId,
       Score,
       c.Deparment minScore Enrollments"
1,57,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetIDJOIN Courses c ON c.CRN = e.CRN
3,57,GROUP BY,0.5,1,GROUP BY e.CRNOR e.Score= e.CRNAND c.Department = 'STAT'
6,57,ORDER BY,0.5,1,"ORDER BY e.NetId ASC,
         e.Score DESC;"
2,57,WHERE,0.5,1,"WHERE e.Score=
  SELECT maxScore
  FROM Enrollments
"
5,58,SELECT,0.5,1,"SELECT e.NetId,
       Score,
       c.Department minScore Enrollments"
1,58,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetIDJOIN Courses c ON c.CRN = e.CRN
3,58,GROUP BY,0.5,1,GROUP BY e.CRNOR e.Score= e.CRNAND c.Department = 'STAT'
6,58,ORDER BY,0.5,1,"ORDER BY e.NetId ASC,
         e.Score DESC;"
2,58,WHERE,0.5,1,"WHERE e.Score=
  SELECT maxScore
  FROM Enrollments
"
5,59,SELECT,0.5,1,"SELECT e.NetId,
       Score,
       c.Department,
       e.CRN minScore Enrollments"
1,59,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetIDJOIN Courses c ON c.CRN = e.CRN
3,59,GROUP BY,0.5,1,GROUP BY e.CRNOR e.Score= e.CRNAND c.Department = 'STAT'
6,59,ORDER BY,0.5,1,"ORDER BY e.NetId ASC,
         e.Score DESC;"
2,59,WHERE,0.5,1,"WHERE e.Score=
  SELECT maxScore
  FROM Enrollments
"
5,60,SELECT,0.5,1,"SELECT e.NetId,
       Score,
       c.Department,
       e.CRN,
       c.Title minScore Enrollments"
1,60,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetIDJOIN Courses c ON c.CRN = e.CRN
3,60,GROUP BY,0.5,1,GROUP BY e.CRNOR e.Score= e.CRNAND c.Department = 'STAT'
6,60,ORDER BY,0.5,1,"ORDER BY e.NetId ASC,
         e.Score DESC;"
2,60,WHERE,0.5,1,"WHERE e.Score=
  SELECT maxScore
  FROM Enrollments
"
5,61,SELECT,0.5,1,"SELECT e.NetId,
       Score,
       c.Department,
       e.CRN,
       c.Title minScore Enrollments"
1,61,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetIdJOIN Courses c ON c.CRN = e.CRN
3,61,GROUP BY,0.5,1,GROUP BY e.CRNOR e.Score= e.CRNAND c.Department = 'STAT'
6,61,ORDER BY,0.5,1,"ORDER BY e.NetId ASC,
         e.Score DESC;"
2,61,WHERE,0.5,1,"WHERE e.Score=
  SELECT maxScore
  FROM Enrollments
"
5,62,SELECT,0.5,1,"SELECT e.NetId,
       Score,
       c.Department,
       e.CRN,
       c.Title minScore Enrollments"
1,62,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetIdJOIN Courses c ON c.CRN = e.CRN
3,62,GROUP BY,0.5,1,GROUP BY e.CRNAND c.Department = 'STAT'OR e.Score= e.CRNAND c.Department = 'STAT'
6,62,ORDER BY,0.5,1,"ORDER BY e.NetId ASC,
         e.Score DESC;"
2,62,WHERE,0.5,1,"WHERE e.Score=
  SELECT maxScore
  FROM Enrollments
"
5,63,SELECT,0.5,1,"SELECT e.NetId,
       Score,
       c.Department,
       e.CRN,
       c.Title minScore"
1,63,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetIdJOIN Courses c ON c.CRN = e.CRN
3,63,GROUP BY,0.5,1,GROUP BY e.CRNAND c.Department = 'STAT'OR e.Score= e.CRNAND c.Department = 'STAT'
6,63,ORDER BY,0.5,1,"ORDER BY e.NetId ASC,
         e.Score DESC;"
2,63,WHERE,0.5,1,"WHERE e.Score=
  SELECT maxScore
  FROM Enrollments
 Enrollments"
5,64,SELECT,0.5,1,"SELECT e.NetId,
       Score,
       c.Department,
       e.CRN,
       c.Title"
1,64,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetIdJOIN Courses c ON c.CRN = e.CRN
3,64,GROUP BY,0.5,1,GROUP BY e.CRNAND c.Department = 'STAT'OR e.Score= minScore e.CRNAND c.Department = 'STAT'
6,64,ORDER BY,0.5,1,"ORDER BY e.NetId ASC,
         e.Score DESC;"
2,64,WHERE,0.5,1,"WHERE e.Score= maxScore
  FROM Enrollments
 Enrollments"
5,65,SELECT,0.5,1,"SELECT e.NetId,
       Score,
       c.Department,
       e.CRN,
       c.Title minScore Enrollments"
1,65,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetIdJOIN Courses c ON c.CRN = e.CRN
3,65,GROUP BY,0.5,1,GROUP BY e.CRNAND c.Department = 'STAT'OR e.Score= e.CRNAND c.Department = 'STAT'
6,65,ORDER BY,0.5,1,"ORDER BY e.NetId ASC,
         e.Score DESC;"
2,65,WHERE,0.5,1,"WHERE e.Score=
  SELECT maxScore
"
5,66,SELECT,0.5,1,"SELECT e.NetId,
       Score,
       c.Department,
       e.CRN,
       c.Title mine.Score"
1,66,FROM,0.5,1,FROM Enrollments eLEFT JOIN Students s ON e.NetId = s.NetIdJOIN Courses c ON c.CRN = e.CRN
3,66,GROUP BY,0.5,1,GROUP BY e.CRNAND c.Department = 'STAT'OR e.Score= e.CRNAND c.Department = 'STAT'
6,66,ORDER BY,0.5,1,"ORDER BY e.NetId ASC,
         e.Score DESC;"
2,66,WHERE,0.5,1,"WHERE e.Score=
  SELECT maxe.Score
"
5,67,SELECT,0.5,1,"SELECT e.NetId,
       Score,
       c.Department,
       e.CRN,
       c.Title mine.Score"
